Alignment ID,Ontology,metric,value,ci_lower,ci_upper,genotype
Cer 42:1;O2|Cer 26:1;O2/16:0(M+Na)_13.3,Cer_NS,n_value,28.4,0.0,0.0,APOE3
Cer 42:1;O2|Cer 26:1;O2/16:0(M+Na)_13.3,Cer_NS,n_value,54.6,0.0,0.0,APOE4
Cer 42:2;O2|Cer 18:1;O2/24:1(M+H-[H2O])_12.96,Cer_NS,n_value,47.7,1.4000000000000057,1.3999999999999986,APOE2
Cer 42:2;O2|Cer 18:1;O2/24:1(M+H-[H2O])_12.96,Cer_NS,n_value,42.75,0.4500000000000028,0.4500000000000028,APOE3
CoQ10(M+H)_13.8,CoQ,n_value,23.85,9.55,8.75,APOE2
CoQ10(M+H)_13.8,CoQ,n_value,19.0,4.6,4.800000000000001,APOE3
CoQ10(M+H)_13.8,CoQ,n_value,14.2,3.0,6.100000000000001,APOE4
CoQ9(M+H)_13.4,CoQ,n_value,32.05,2.1499999999999986,2.1500000000000057,APOE2
CoQ9(M+H)_13.4,CoQ,n_value,32.0,0.5,0.5,APOE3
CoQ9(M+H)_13.4,CoQ,n_value,38.4,7.199999999999999,1.0,APOE4
DG 34:0|DG 16:0_18:0(M+NH4)_12.9,DG,n_value,29.4,9.299999999999995,8.200000000000003,APOE2
DG 34:0|DG 16:0_18:0(M+NH4)_12.9,DG,n_value,24.3,1.5,1.5,APOE3
DG 34:0|DG 16:0_18:0(M+NH4)_12.9,DG,n_value,28.6,13.000000000000002,16.9,APOE4
DG 34:1|DG 16:0_18:1(M+NH4)_11.75,DG,n_value,30.0,6.0,4.5,APOE2
DG 34:1|DG 16:0_18:1(M+NH4)_11.75,DG,n_value,35.2,2.5,3.899999999999999,APOE3
DG 34:1|DG 16:0_18:1(M+NH4)_11.75,DG,n_value,32.7,2.400000000000002,0.0,APOE4
DG 36:0|DG 18:0_18:0(M+NH4)_13.2,DG,n_value,64.4,0.0,0.0,APOE2
DG 36:0|DG 18:0_18:0(M+NH4)_13.2,DG,n_value,58.7,0.0,0.0,APOE4
DG 36:1|DG 18:0_18:1(M+NH4)_12.96,DG,n_value,27.5,4.600000000000001,4.600000000000001,APOE2
DG 36:1|DG 18:0_18:1(M+NH4)_12.96,DG,n_value,29.4,7.199999999999999,4.700000000000003,APOE3
DG 36:1|DG 18:0_18:1(M+NH4)_12.96,DG,n_value,24.65,3.049999999999997,3.8500000000000014,APOE4
DG 36:2|DG 18:1_18:1(M+NH4)_11.94,DG,n_value,25.6,1.3000000000000007,1.6999999999999993,APOE2
DG 36:2|DG 18:1_18:1(M+NH4)_11.94,DG,n_value,27.55,5.550000000000001,3.649999999999999,APOE3
DG 36:2|DG 18:1_18:1(M+NH4)_11.94,DG,n_value,20.25,0.6499999999999986,0.6499999999999986,APOE4
DG 36:4|DG 16:0_20:4(M+NH4)_10.72,DG,n_value,23.1,1.6000000000000014,0.7999999999999972,APOE2
DG 36:4|DG 16:0_20:4(M+NH4)_10.72,DG,n_value,24.65,0.8499999999999979,0.8500000000000014,APOE3
DG 36:4|DG 16:0_20:4(M+NH4)_10.72,DG,n_value,22.15,0.3499999999999978,0.3500000000000014,APOE4
DG 38:4|DG 18:0_20:4(M+NH4)_12.2,DG,n_value,22.65,0.9499999999999992,0.8500000000000014,APOE2
DG 38:4|DG 18:0_20:4(M+NH4)_12.2,DG,n_value,25.1,6.5,3.299999999999997,APOE3
DG 38:4|DG 18:0_20:4(M+NH4)_12.2,DG,n_value,20.9,1.8999999999999984,0.6000000000000014,APOE4
DG 38:6(M+Na)_9.76,DG,n_value,26.6,4.100000000000001,7.799999999999997,APOE2
DG 38:6(M+Na)_9.76,DG,n_value,25.7,0.0,0.0,APOE3
DG 38:6(M+Na)_9.76,DG,n_value,26.0,0.6999999999999993,0.6999999999999993,APOE4
DG 38:6|DG 16:0_22:6(M+NH4)_10.45,DG,n_value,25.7,4.199999999999999,5.199999999999999,APOE2
DG 38:6|DG 16:0_22:6(M+NH4)_10.45,DG,n_value,23.4,3.899999999999999,2.400000000000002,APOE3
DG 38:6|DG 16:0_22:6(M+NH4)_10.45,DG,n_value,22.85,0.8500000000000014,0.8499999999999979,APOE4
DG 40:4|DG 18:0_22:4(M+NH4)_13.05,DG,n_value,18.950000000000003,0.6500000000000021,0.6499999999999986,APOE2
DG 40:4|DG 18:0_22:4(M+NH4)_13.05,DG,n_value,24.35,6.050000000000001,6.049999999999997,APOE3
DG 40:4|DG 18:0_22:4(M+NH4)_13.05,DG,n_value,20.2,3.5,3.5,APOE4
DG 40:6(M+Na)_11.84,DG,n_value,22.15,1.9499999999999995,5.550000000000001,APOE2
